Time(s)		Range(m)	Height(m)
0.0		0.0		0.0
0.2		7.07		6.87
0.4		14.14		13.36
0.6		21.21		19.45
0.8		28.28		25.15
1.0		35.36		30.45
1.2		42.43		35.36
1.4		49.5		39.88
1.6		56.57		44.01
1.8		63.64		47.75
2.0		70.71		51.09
2.2		77.78		54.04
2.4		84.85		56.6
2.6		91.92		58.77
2.8		98.99		60.54
3.0		106.07		61.92
3.2		113.14		62.91
3.4		120.21		63.51
3.6		127.28		63.71
3.8		134.35		63.52
4.0		141.42		62.94
4.2		148.49		61.97
4.4		155.56		60.6
4.6		162.63		58.84
4.8		169.71		56.69
5.0		176.78		54.15
5.2		183.85		51.22
5.4		190.92		47.89
5.6		197.99		44.17
5.8		205.06		40.06
6.0		212.13		35.55
6.2		219.2		30.65
6.4		226.27		25.37
6.6		233.35		19.68
6.8		240.42		13.61
7.0		247.49		7.14
7.2		254.56		0.28
7.4		261.63		-6.97
